name,popularity,genre
"Tyler, The Creator",828,HipHop
Kendrick Lamar,641,HipHop
Post Malone,542,HipHop
Wu-Tang Clan,272,HipHop
Hollywood Undead,270,HipHop
Denzel Curry,253,HipHop
bbno$,230,HipHop
Joost,188,HipHop
The Roots,186,HipHop
Stray Kids,162,HipHop
OsamaSon,145,HipHop
SahBabii,139,HipHop
Rio Da Yung Og,135,HipHop
Role Model,125,HipHop
Smino,122,HipHop
Nanpa Básico,120,HipHop
De La Soul,115,HipHop
Bone Thugs-n-Harmony,94,HipHop
Daily Bread,93,HipHop
Playboi Carti,90,HipHop
Gramatik,81,HipHop
Connor Price,75,HipHop
KRS-One,66,HipHop
Samara Joy,565,Jazz
Brad Mehldau,144,Jazz
Caravan Palace,140,Jazz
Cowboy Bebop LIVE Presented by Bebop Bounty Big Band,117,Jazz
Sting,114,Jazz
Herb Alpert,103,Jazz
Cécile McLorin Salvant,97,Jazz
Gramatik,81,Jazz
Lake Street Dive,72,Jazz
BADBADNOTGOOD,71,Jazz
Tigran Hamasyan,67,Jazz
Goose (USA),66,Jazz
Wax Tailor,53,Jazz
Kat Edmonson,50,Jazz
Esperanza Spalding,49,Jazz
Al Di Meola,49,Jazz
Wynton Marsalis,46,Jazz
Pink Martini,45,Jazz
Eddie Palmieri,39,Jazz
Eric Johnson,38,Jazz
49th & Main,38,Jazz
Trombone Shorty & Orleans Avenue,37,Jazz
Victor Wooten,32,Jazz
Spanish Harlem Orchestra,32,Jazz
Andy Frasco,31,Jazz
Emmet Cohen,31,Jazz
Chucho Valdés,31,Jazz
Shakira,"1,482",Latin
Rauw Alejandro,351,Latin
Grupo Niche,200,Latin
Ha*Ash,162,Latin
Caifanes,155,Latin
The Mavericks,130,Latin
J Balvin,119,Latin
Kapo,117,Latin
Natalia Lafourcade,102,Latin
Yailin La Mas Viral,81,Latin
Joaquín Sabina,66,Latin
Deorro,55,Latin
Cimafunk,51,Latin
Eslabon Armado,48,Latin
Los Lobos,43,Latin
Eddie Palmieri,39,Latin
Hombres G,37,Latin
Carlos Rivera,36,Latin
Spanish Harlem Orchestra,32,Latin
Chucho Valdés,31,Latin
Camila,31,Latin
Anuel Aa,30,Latin
Joaquina,30,Latin
Los Enanitos Verdes,30,Latin
Duki,30,Latin
La India,24,Latin
Elvis Martinez,22,Latin
Los Amigos Invisibles,22,Latin
Toño Rosario,22,Latin
AFRO DOMINICANO,21,Latin
System of a Down,"13,091",Metal
Korn,"3,015",Metal
Deftones,"2,798",Metal
GHOST,"1,575",Metal
Linkin Park,605,Metal
Bullet for My Valentine,601,Metal
Disturbed,600,Metal
Ice Nine Kills,540,Metal
Three Days Grace,496,Metal
Meshuggah,397,Metal
Spiritbox,370,Metal
The Plot In You,286,Metal
Dream Theater,184,Metal
In Flames,175,Metal
Sevendust,174,Metal
Trivium,157,Metal
Devin Townsend,157,Metal
Machine Head,156,Metal
Cannibal Corpse,147,Metal
Arch Enemy,131,Metal
August Burns Red,129,Metal
Catch Your Breath,128,Metal
Alcest,118,Metal
Between the Buried and Me,117,Metal
Make Them Suffer,112,Metal
Napalm Death,107,Metal
Obituary,97,Metal
LANDMVRKS,96,Metal
Boy Harsher,95,Metal
Paleface Swiss,93,Metal
